date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2023-02-01,144.0793213488,105.15,58.3015780327,310.57,101.1799580502,133.3830270996,337.6216245091,152.6619162454,249.1831684772,20.9284001318,137.1204208324,181.41,483.8977050682,227.7700857555,108.1546718536
2023-02-02,149.4192618155,112.91,58.5936904602,311.86,108.5317897649,132.7619298318,325.9230849904,188.2052633859,260.8659401743,21.6938661348,136.1436568877,188.27,458.4176186665,226.4482498312,104.7707144546
2023-02-03,153.0650838781,103.39,57.8053738099,308.51,104.9606150649,134.8163284869,334.1820370685,185.9719647156,254.704140756,21.0852906833,136.5650060403,189.98,459.5762469744,227.0105233214,105.4965214734
2023-02-06,150.320810206,102.18,58.1613253772,308.43,103.2149291082,135.6094219212,332.7825487688,185.5033707982,253.1464378631,21.0742983517,135.4062958706,194.76,462.7113588664,226.3298764649,105.317426235
2023-02-07,153.2136907556,102.11,59.4332718743,312.97,107.7736632923,137.2624961878,334.7733701528,191.0467371405,263.7841683789,22.1575426692,134.08479171,196.81,464.3081239294,228.1843925377,108.3243410268
2023-02-08,150.5090455842,100.05,58.2009830246,308.48,99.7534832398,136.2974065871,335.8082030504,182.8812388773,262.9658814161,22.1895203613,132.6962547297,201.29,470.4809839901,227.0795744518,107.381734509
2023-02-09,149.4687974413,98.24,57.9785132951,307.21,95.2246751007,134.1761205339,336.8528914994,177.3877229519,259.8997700255,22.3214283409,131.2406849297,207.32,472.9248134462,226.6849965639,107.7870553116
2023-02-10,149.8353610726,97.61,57.3826813238,309.89,94.6261542013,134.768551774,340.1347901176,173.6290015291,259.3871083139,21.2501756579,132.3993950995,196.89,481.220202676,224.5599791555,112.3304187275
2023-02-13,152.6532699889,99.54,58.1439147027,313.74,94.7658090778,136.230519189,345.3385212598,178.8932055376,267.4911069089,21.772811062,134.1326722956,194.64,482.2912036329,226.2204578747,111.8968197293
2023-02-14,152.0083260468,99.7,58.2590186062,310.79,94.7159323362,136.8325057716,343.6532219695,178.9430559544,268.3291116298,22.9549863643,133.3761590442,209.25,479.8376378044,226.7245317715,110.5859741331
2023-02-15,154.121757734,101.16,58.7794043214,309.63,96.8606322259,137.4058263265,331.2442913223,176.6299966173,266.1897348718,22.748130669,133.0697232969,214.24,478.2992909754,226.2599930823,110.2535132935
2023-02-16,152.514358986,98.15,58.0878136405,308.18,95.5438862471,135.5138684953,322.4047821601,171.9241172764,259.1030706841,21.9866618775,131.3268699837,202.04,474.5021057646,223.2058982953,109.9305513351
